model,dataset,method,avg_length
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,cot,126.4
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,least_to_most,204.5
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,self_refine,268.1
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,standard,217.6
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,cot,178.6
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,least_to_most,241.6
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,self_refine,256.1
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,standard,239.9
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,cot,160.5
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,least_to_most,243.7
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,self_refine,287.6
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,standard,232.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,cot,148.1
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,least_to_most,247.6
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,self_refine,102.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,standard,279.6
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,cot,202.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,least_to_most,282.9
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,self_refine,96.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,standard,298.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,cot,206.8
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,least_to_most,230.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,self_refine,143.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,standard,276.4
