model,dataset,method,avg_length
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,cot,61.4
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,least_to_most,205.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,self_refine,263.6
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,standard,198.2
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,cot,112.2
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,least_to_most,137.6
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,self_refine,218.2
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,standard,195.2
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,cot,183.6
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,least_to_most,229.6
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,self_refine,183.8
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,standard,222.8
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,cot,203.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,least_to_most,197.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,self_refine,183.6
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,standard,307.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,cot,111.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,least_to_most,181.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,self_refine,306.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,standard,330.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,cot,165.8
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,least_to_most,154.6
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,self_refine,242.4
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,standard,241.8
